Rank,Movie,Release Date,Distributor,Genre,2023 Gross,Tickets Sold
413,The Trial,"Feb 20, 1963",,Thriller/Suspense,"$60,823","5,642"
414,Lynch/Oz,"Jun 2, 2023",Janus Films,Documentary,"$60,701","5,630"
415,Story Ave,"Sep 29, 2023",Kino Lorber,Drama,"$60,218","5,586"
416,Biosphere,"Jul 7, 2023",IFC Films,Thriller/Suspense,"$60,149","5,579"
417,My Happy Ending,"Feb 24, 2023",Roadside Attractions,Comedy,"$59,329","5,503"
418,Nam June Paik: Moon Is The …,"Mar 24, 2023",Greenwich,Documentary,"$59,023","5,475"
419,The Mission,"Oct 13, 2023",Picturehouse,Documentary,"$58,639","5,439"
420,Tori and Lokita,"Mar 24, 2023",Janus Films,Thriller/Suspense,"$58,430","5,420"
421,The Stones and Brian Jones,"Nov 17, 2023",Magnolia Pictures,Documentary,"$57,924","5,373"
422,Immediate Family,"Dec 15, 2023",Magnolia Pictures,Documentary,"$57,666","5,349"
423,Fire of Love,"Jul 6, 2022",Neon,Documentary,"$56,332","5,225"
424,Cat Person,"Oct 6, 2023",Rialto Pictures,Thriller/Suspense,"$55,548","5,152"
425,"Desperate Souls, Dark City …","Jun 23, 2023",Zeitgeist,Documentary,"$55,124","5,113"
426,The End of Sex,"Apr 28, 2023",Blue Fox Entertai…,Romantic Comedy,"$54,527","5,058"
427,Moon Garden,"May 19, 2023",Oscilloscope Pict…,Horror,"$54,013","5,010"
428,Simulant,"Jun 2, 2023",Vertical Entertai…,Thriller/Suspense,"$53,376","4,951"
429,Deep Sea 3-D,"Mar 3, 2006",Warner Bros.,Documentary,"$52,218","4,844"
430,All Dirt Roads Taste of Salt,"Nov 3, 2023",A24,Drama,"$52,084","4,831"
431,Revoir Paris,"Jun 23, 2023",Music Box Films,Drama,"$52,044","4,827"
432,"Blind Willow, Sleeping Woman","Apr 14, 2023",Zeitgeist,Drama,"$51,351","4,763"
433,Once Within a Time,"Oct 13, 2023",Oscilloscope Pict…,Comedy,"$50,377","4,673"
434,Cat Daddies,"Oct 14, 2022",Gray Hat Productions,Documentary,"$48,834","4,530"
435,Touch the Water,"Nov 3, 2023",Holt Hamilton Dis…,Drama,"$48,732","4,520"
436,Black Ice,"Jul 14, 2023",Roadside Attractions,Documentary,"$47,362","4,393"
437,Ticket to Paradise,"Oct 21, 2022",Universal,Romantic Comedy,"$46,825","4,343"
438,The Five Devils,"Mar 24, 2023",MUBI,Drama,"$46,666","4,328"
439,The Disappearance of Shere …,"Nov 17, 2023",IFC Films,Documentary,"$46,472","4,310"
440,R.M.N.,"Apr 28, 2023",IFC Films,Drama,"$46,360","4,300"
441,The Beasts,"Jul 28, 2023",Greenwich,Thriller/Suspense,"$46,105","4,276"
442,Stop Making Sense,"Oct 19, 1984",Cinecom,Concert/Perfor…,"$45,413","4,212"
443,Werckmeister Harmonies,"May 26, 2023",Janus Films,Drama,"$44,462","4,124"
444,Four Daughters,"Oct 27, 2023",Kino Lorber,Documentary,"$44,032","4,084"
445,Full Time,"Feb 3, 2023",Music Box Films,Drama,"$42,566","3,948"
