Rank,Movie,Release Date,Distributor,Genre,2023 Gross,Tickets Sold
52,Gran Turismo: Based on a Tr…,"Aug 25, 2023",Sony Pictures,Action,"$44,428,554","4,121,387"
53,The Color Purple,"Dec 25, 2023",Warner Bros.,Musical,"$44,047,642","4,086,052"
54,The Boogeyman,"Jun 2, 2023",20th Century Studios,Horror,"$43,244,282","4,011,529"
55,A Haunting in Venice,"Sep 15, 2023",20th Century Studios,Thriller/Suspense,"$42,471,412","3,939,834"
56,The Creator,"Sep 29, 2023",20th Century Studios,Thriller/Suspense,"$40,774,679","3,782,438"
57,80 for Brady,"Feb 3, 2023",Paramount Pictures,Comedy,"$39,448,525","3,659,418"
58,The Boy and the Heron,"Dec 8, 2023",GKIDS,Adventure,"$35,846,555","3,325,283"
59,Knock at the Cabin,"Feb 3, 2023",Universal,Thriller/Suspense,"$35,397,980","3,283,671"
60,RENAISSANCE: A FILM BY BEYO…,"Dec 1, 2023",AMC Theatres Dist…,Concert/Perfor…,"$33,223,373","3,081,945"
61,Missing,"Jan 20, 2023",Sony Pictures,Thriller/Suspense,"$32,502,025","3,015,030"
62,Plane,"Jan 13, 2023",Lionsgate,Action,"$32,111,181","2,978,773"
63,65,"Mar 10, 2023",Sony Pictures,Thriller/Suspense,"$32,062,804","2,974,286"
64,Thanksgiving,"Nov 17, 2023",Sony Pictures,Horror,"$31,800,773","2,949,979"
65,My Big Fat Greek Wedding 3,"Sep 8, 2023",Focus Features,Romantic Comedy,"$28,496,030","2,643,416"
66,Asteroid City,"Jun 16, 2023",Focus Features,Comedy,"$28,153,025","2,611,597"
67,Magic Mike’s Last Dance,"Feb 10, 2023",Warner Bros.,Comedy,"$26,033,633","2,414,994"
68,Anyone But You,"Dec 22, 2023",Sony Pictures,Romantic Comedy,"$24,837,385","2,304,024"
69,Strays,"Aug 18, 2023",Universal,Comedy,"$23,988,885","2,225,314"
70,The Boys in the Boat,"Dec 25, 2023",Amazon MGM Studios,Drama,"$21,998,472","2,040,674"
71,Priscilla,"Nov 3, 2023",A24,Drama,"$20,864,910","1,935,520"
72,"Are You There God? It’s Me,…","Apr 28, 2023",Lionsgate,Comedy,"$20,372,406","1,889,833"
73,The Pope’s Exorcist,"Apr 14, 2023",Sony Pictures,Horror,"$20,009,380","1,856,158"
74,The Holdovers,"Oct 27, 2023",Focus Features,Comedy,"$18,208,655","1,689,114"
75,The Blackening,"Jun 16, 2023",Lionsgate,Horror,"$17,707,207","1,642,598"
76,Book Club: The Next Chapter,"May 12, 2023",Focus Features,Romantic Comedy,"$17,581,565","1,630,943"
77,Pathaan,"Jan 25, 2023",Yash Raj Films,Thriller/Suspense,"$17,487,476","1,622,214"
78,Black Panther: Wakanda Forever,"Nov 11, 2022",Walt Disney,Action,"$17,329,414","1,607,552"
79,Renfield,"Apr 14, 2023",Universal,Black Comedy,"$17,297,895","1,604,628"
80,The Blind,"Sep 28, 2023",Fathom Events,Drama,"$17,265,487","1,601,622"
81,Demon Slayer: Kimetsu No Ya…,"Mar 3, 2023",Crunchyroll,Adventure,"$16,945,424","1,571,932"
82,Guy Ritchie’s The Covenant,"Apr 21, 2023",MGM,Action,"$16,938,039","1,571,246"
83,Expend4bles,"Sep 22, 2023",Lionsgate,Action,"$16,710,153","1,550,106"
84,Champions,"Mar 10, 2023",Focus Features,Comedy,"$16,397,335","1,521,089"
85,The Iron Claw,"Dec 22, 2023",A24,Drama,"$15,964,922","1,480,976"
86,"Ruby Gillman, Teenage Kraken","Jun 30, 2023",Universal,Comedy,"$15,753,600","1,461,372"
87,Jawan,"Sep 7, 2023",Yash Raj Films,Action,"$15,198,530","1,409,882"
88,Titanic,"Dec 19, 1997",Paramount Pictures,Drama,"$15,096,069","1,400,377"
89,Animal,"Dec 1, 2023",Moksha Movies,Action,"$14,770,658","1,370,190"
90,Dumb Money,"Sep 15, 2023",Sony Pictures,Comedy,"$13,919,484","1,291,232"
91,The Last Voyage of the Demeter,"Aug 11, 2023",Universal,Horror,"$13,637,180","1,265,044"
92,Joy Ride,"Jul 7, 2023",Lionsgate,Comedy,"$12,897,789","1,196,455"
93,Jurassic Park,"Aug 26, 1994",Universal,Adventure,"$12,881,195","1,194,916"
94,About My Father,"May 26, 2023",Lionsgate,Comedy,"$12,089,391","1,121,464"
95,His Only Son,"Mar 31, 2023",Angel Studios,Drama,"$12,084,084","1,120,972"
96,Bottoms,"Aug 25, 2023",MGM,Comedy,"$12,036,071","1,116,518"
97,The Shift,"Dec 1, 2023",Angel Studios,Thriller/Suspense,"$11,925,234","1,106,236"
98,The Whale,"Dec 9, 2022",A24,Drama,"$11,598,030","1,075,884"
99,After Death,"Oct 27, 2023",Angel Studios,Documentary,"$11,477,621","1,064,714"
100,Saltburn,"Nov 17, 2023",MGM,Thriller/Suspense,"$11,256,512","1,044,203"
101,Past Lives,"Jun 2, 2023",A24,Drama,"$10,950,663","1,015,831"
102,Suzume,"Apr 14, 2023",Sony Pictures,Adventure,"$10,932,037","1,014,104"
103,Ferrari,"Dec 25, 2023",Neon,Drama,"$10,778,480","999,858"
104,The Machine,"May 26, 2023",Sony Pictures,Action,"$10,458,331","970,161"
105,Whitney Houston I Wanna Dan…,"Dec 23, 2022",Sony Pictures,Drama,"$10,451,167","969,496"
106,Poor Things,"Dec 8, 2023",Searchlight Pictures,Drama,"$10,296,036","955,105"
107,The Nightmare Before Christmas,"Oct 13, 1993",Walt Disney,Musical,"$10,251,956","951,016"
108,House Party,"Jan 13, 2023",Warner Bros.,Comedy,"$9,011,251","835,923"
109,Radical,"Nov 3, 2023",Pantelion Films,Drama,"$8,636,299","801,140"
110,Salaar: Part 1 Ceasefire,"Dec 22, 2023",Prathyangira Cine…,Action,"$8,268,986","767,067"
111,Beau is Afraid,"Apr 21, 2023",A24,Horror,"$8,176,562","758,493"
112,Silent Night,"Dec 1, 2023",Lionsgate,Action,"$7,996,185","741,761"
113,BTS: Yet to Come in Cinemas,"Feb 1, 2023",Trafalgar Releasing,Documentary,"$7,889,021","731,820"
114,The Hill,"Aug 25, 2023",Briarcliff Entert…,Drama,"$7,665,865","711,119"
115,Sisu,"Apr 28, 2023",Lionsgate,Action,"$7,265,622","673,990"
116,Star Wars Ep. VI: Return of…,"Mar 14, 1997",20th Century Fox,Adventure,"$7,259,924","673,462"
117,Everything Everywhere All A…,"Mar 25, 2022",A24,Action,"$7,160,881","664,274"
118,Dunki,"Dec 21, 2023",Yash Raj Films,Comedy,"$7,160,815","664,268"
119,Retribution,"Aug 25, 2023",Roadside Attractions,Action,"$6,937,696","643,571"
120,Next Goal Wins,"Nov 17, 2023",Searchlight Pictures,Comedy,"$6,713,826","622,804"
121,Babylon,"Dec 23, 2022",Paramount Pictures,Drama,"$6,575,328","609,956"
122,Operation Fortune: Ruse de …,"Dec 31, 2022",STX Entertainment,Action,"$6,496,125","602,608"
123,Love Again,"May 5, 2023",Sony Pictures,Romantic Comedy,"$6,230,837","578,000"
124,Journey to Bethlehem,"Nov 10, 2023",Sony Pictures,Musical,"$6,186,475","573,885"
125,Dream Scenario,"Nov 10, 2023",A24,Black Comedy,"$5,664,014","525,418"
126,The Chosen Season 3 Finale,"Feb 2, 2023",Fathom Events,Drama,"$5,525,069","512,529"
127,Nefarious,"Apr 14, 2023",Soli Deo Gloria R…,Thriller/Suspense,"$5,433,686","504,052"
128,Big George Foreman: The Mir…,"Apr 28, 2023",Sony Pictures,Drama,"$5,426,772","503,411"
129,Waitress: The Musical,"Dec 7, 2023",Bleecker Street,Concert/Perfor…,"$5,402,148","501,126"
130,Tiger 3,"Nov 11, 2023",Yash Raj Films,Action,"$5,365,263","497,705"
131,Freelance,"Oct 27, 2023",Relativity,Action,"$5,314,136","492,962"
132,Women Talking,"Dec 23, 2022",United Artists,Drama,"$5,304,544","492,072"
133,The Fabelmans,"Nov 23, 2022",Universal,Drama,"$5,236,585","485,768"
134,Infinity Pool,"Jan 27, 2023",Neon,Horror,"$5,078,401","471,094"
135,The Wandering Earth 2,"Jan 22, 2023",Well Go USA,Action,"$5,023,132","465,967"
136,Mummies,"Feb 24, 2023",Warner Bros.,Adventure,"$4,960,498","460,158"
137,Hocus Pocus,"Jul 16, 1993",Walt Disney,Comedy,"$4,929,004","457,236"
138,You Hurt My Feelings,"May 26, 2023",A24,Comedy,"$4,830,788","448,125"
139,Kandahar,"May 26, 2023",Briarcliff Entert…,Action,"$4,813,132","446,487"
140,Golda,"Aug 25, 2023",Bleecker Street,Drama,"$4,801,781","445,434"
141,Christmas with the Chosen: …,"Dec 12, 2023",Fathom Events,Concert/Perfor…,"$4,676,000","433,766"
142,It Lives Inside,"Sep 22, 2023",Neon,Horror,"$4,675,092","433,682"
143,Hypnotic,"May 12, 2023",Ketchup Entertain…,Thriller/Suspense,"$4,500,169","417,455"
144,Marlowe,"Feb 15, 2023",Open Road,Thriller/Suspense,"$4,350,243","403,547"
145,Jailer,"Aug 9, 2023",Ayngaran Internat…,Action,"$4,088,000","379,220"
146,Theater Camp,"Jul 14, 2023",Searchlight Pictures,Comedy,"$4,009,945","371,980"
147,Ponniyin Selvan: Part II,"Apr 28, 2023",Zee Studios,Action,"$3,813,000","353,710"
148,Anatomy of a Fall,"Oct 13, 2023",Neon,Drama,"$3,747,821","347,664"
149,Left Behind: Rise of the An…,"Jan 26, 2023",Fathom Events,Thriller/Suspense,"$3,649,422","338,536"
150,The Journey: A Music Special,"Apr 2, 2023",Fathom Events,Documentary,"$3,574,915","331,624"
151,Chevalier,"Apr 21, 2023",Searchlight Pictures,Drama,"$3,541,159","328,493"
152,Mafia Mamma,"Apr 14, 2023",Bleecker Street,Comedy,"$3,496,761","324,374"
153,A Thousand and One,"Mar 31, 2023",Focus Features,Drama,"$3,400,020","315,400"
154,What Happens Later,"Nov 3, 2023",Bleecker Street,Romantic Comedy,"$3,273,896","303,700"
155,Rocky Aur Rani Kii Prem Kah…,"Jul 28, 2023",Viacom18 Motion P…,Comedy,"$3,200,000","296,846"
156,2023 Oscar Shorts,"Feb 17, 2023",ShortsHD,Multiple Genres,"$3,023,866","280,507"
157,Elf,"Nov 7, 2003",New Line,Comedy,"$2,996,587","277,977"
158,Living,"Dec 23, 2022",Sony Pictures Cla…,Drama,"$2,979,763","276,415"
159,The Menu,"Nov 18, 2022",Searchlight Pictures,Black Comedy,"$2,779,574","257,845"
160,Violent Night,"Dec 2, 2022",Universal,Comedy,"$2,552,645","236,794"
161,Come Out in Jesus Name,"Mar 13, 2023",Fathom Events,Documentary,"$2,543,913","235,984"
162,Tu Jhoothi Main Makkaar,"Mar 8, 2023",Yash Raj Films,Romantic Comedy,"$2,503,604","232,245"
163,The Miracle Club,"Jul 14, 2023",Sony Pictures Cla…,Comedy,"$2,479,031","229,965"
164,Blackberry,"May 12, 2023",IFC Films,Comedy,"$2,418,546","224,354"
165,The Land Before Time,"Nov 18, 1988",Universal,Adventure,"$2,383,751","221,127"
166,Chocolat,"Sep 18, 2015",The Film Desk,Drama,"$2,346,691","217,689"
167,A Good Person,"Mar 24, 2023",MGM,Drama,"$2,210,465","205,052"
168,Fear,"Jan 27, 2023",Hidden Empire Rel…,Horror,"$2,138,235","198,352"
169,Moving On,"Mar 17, 2023",Roadside Attractions,Comedy,"$2,136,832","198,221"
170,Winnie-The-Pooh: Blood and …,"Feb 15, 2023",Fathom Events,Horror,"$2,068,834","191,914"
171,Skinamarink,"Jan 13, 2023",IFC Midnight,Horror,"$2,052,272","190,377"
172,Die Hard,"Jul 15, 1988",20th Century Fox,Action,"$2,048,453","190,023"
173,Jules,"Aug 11, 2023",Bleecker Street,Drama,"$1,924,922","178,564"
174,That Time I Got Reincarnate…,"Jan 20, 2023",Crunchyroll,Adventure,"$1,891,488","175,463"
175,Somewhere in Queens,"Apr 21, 2023",Roadside Attractions,Comedy,"$1,802,442","167,202"
176,Delicatessen,"Apr 3, 1992",Miramax,Comedy,"$1,796,324","166,634"
177,The Marsh King’s Daughter,"Nov 3, 2023",Roadside Attractions,Thriller/Suspense,"$1,792,905","166,317"
178,Oldboy,"Mar 25, 2005",Tartan Films,Thriller/Suspense,"$1,750,719","162,404"
179,Creation of the Gods I: Kin…,"Sep 20, 2023",Well Go USA,Action,"$1,706,355","158,288"
180,American Fiction,"Dec 15, 2023",Amazon MGM Studios,Comedy,"$1,655,483","153,569"
181,Route 60: The Biblical Highway,"Sep 18, 2023",Fathom Events,Documentary,"$1,606,339","149,011"
182,Polite Society,"Apr 28, 2023",Focus Features,Action,"$1,595,585","148,013"
183,The Banshees of Inisherin,"Oct 21, 2022",Searchlight Pictures,Drama,"$1,555,301","144,277"
184,The Polar Express,"Nov 10, 2004",Warner Bros.,Adventure,"$1,519,078","140,916"
185,The Quiet Girl,"Dec 16, 2022",Super LTD,Drama,"$1,500,014","139,147"
186,Spirited Away: Live on Stage,"Apr 23, 2023",Fathom Events,Adventure,"$1,455,081","134,979"
187,Dicks: The Musical,"Oct 6, 2023",A24,Musical,"$1,453,012","134,787"
188,The Amazing Maurice,"Feb 3, 2023",Viva Pictures,Adventure,"$1,440,000","133,580"
189,Eileen,"Dec 1, 2023",Neon,Drama,"$1,425,273","132,214"
190,Maybe I Do,"Jan 27, 2023",Vertical Entertai…,Romantic Comedy,"$1,293,842","120,022"
191,The First Slam Dunk,"Jul 28, 2023",GKIDS,Comedy,"$1,291,869","119,839"
192,Billie Eilish Live at the 0…,"Jan 27, 2023",Trafalgar Releasing,Concert/Perfor…,"$1,290,000","119,666"
193,The Big Lebowski,"Mar 6, 1998",Gramercy,Comedy,"$1,266,945","117,527"
194,Back to the Future,"Jul 3, 1985",Universal,Adventure,"$1,240,710","115,094"
195,The Lost King,"Mar 24, 2023",IFC Films,Comedy,"$1,188,032","110,207"
196,Sword Art Online Progressiv…,"Feb 3, 2023",Crunchyroll,Action,"$1,178,448","109,318"
197,TÁR,"Oct 7, 2022",Focus Features,Drama,"$1,177,760","109,254"
198,The Lord of the Rings: The …,"Dec 17, 2003",New Line,Adventure,"$1,176,085","109,098"
199,Gadar 2,"Aug 11, 2023",Zee Studios,Action,"$1,135,000","105,287"
200,Camp Hideout,"Sep 15, 2023",Roadside Attractions,Adventure,"$1,125,010","104,360"
201,Strange World,"Nov 23, 2022",Walt Disney,Adventure,"$1,120,039","103,900"
202,Close,"Dec 2, 2022",A24,Drama,"$1,100,114","102,051"
203,National Lampoon’s Christma…,"Dec 1, 1989",Warner Bros.,Comedy,"$1,098,168","101,871"
204,Emily,"Feb 17, 2023",Bleecker Street,Drama,"$1,097,067","101,768"
205,Knights of the Zodiac,"May 12, 2023",Sony Pictures,Action,"$1,090,155","101,128"
206,Waltair Veerayya,"Jan 13, 2023",Friday Entertainment,Drama,"$1,080,000","100,185"
207,Broker,"Dec 26, 2022",Neon,Drama,"$993,145","92,128"
208,Inside,"Mar 17, 2023",Focus Features,Thriller/Suspense,"$918,415","85,196"
209,The Roundup: No Way Out,"Jun 2, 2023",Capelight Pictures,Action,"$909,411","84,360"
210,Dr. Seuss’ The Grinch,"Nov 9, 2018",Universal,Adventure,"$857,560","79,551"
211,Fool’s Paradise,"May 12, 2023",Roadside Attractions,Comedy,"$855,173","79,329"
212,The Domino Revival,"Oct 24, 2023",Fathom Events,Documentary,"$851,398","78,979"
213,Lost in the Stars,"Jul 7, 2023",CMC Pictures,Thriller/Suspense,"$820,000","76,066"
214,It’s A Wonderful Knife,"Nov 10, 2023",RLJ Entertainment,Horror,"$811,818","75,307"
215,Paint,"Apr 7, 2023",IFC Films,Comedy,"$811,739","75,300"
216,Hidden Blade,"Feb 17, 2023",Well Go USA,Drama,"$803,189","74,507"
217,Return to Seoul,"Dec 2, 2022",Sony Pictures Cla…,Drama,"$798,774","74,097"
218,The Royal Hotel,"Oct 6, 2023",Neon,Thriller/Suspense,"$780,266","72,380"
219,The Devil Conspiracy,"Jan 13, 2023",Third Day Product…,Horror,"$765,218","70,984"
220,ODESZA: The Last Goodbye Ci…,"Jul 7, 2023",Trafalgar Releasing,Concert/Perfor…,"$760,000","70,500"
221,Showing Up,"Apr 7, 2023",A24,Drama,"$754,483","69,989"
222,How to Blow Up a Pipeline,"Apr 7, 2023",Neon,Drama,"$750,010","69,574"
223,The Retirement Plan,"Sep 15, 2023",Falling Forward F…,Action,"$745,000","69,109"
224,Monty Python and the Holy G…,"May 10, 1975",,Comedy,"$734,696","68,153"
225,Rally Road Racers,"May 12, 2023",Viva Pictures,Adventure,"$711,005","65,955"
226,Jaws,"Jun 20, 1975",Universal,Horror,"$708,515","65,725"
227,Harry Potter and the Deathl…,"Nov 19, 2010",Warner Bros.,Adventure,"$706,013","65,493"
228,It Ain’t Over,"May 12, 2023",Sony Pictures Cla…,Documentary,"$705,355","65,431"
229,How the Grinch Stole Christmas,"Nov 17, 2000",Universal,Adventure,"$700,795","65,009"
230,The Goonies,"Jun 7, 1985",Warner Bros.,Adventure,"$693,408","64,324"
231,Shortcomings,"Aug 4, 2023",Sony Pictures Cla…,Comedy,"$675,257","62,639"
232,Devotion,"Nov 23, 2022",Sony Pictures,Action,"$673,996","62,523"
233,Master Gardener,"May 19, 2023",Magnolia Pictures,Thriller/Suspense,"$667,114","61,884"
234,Fallen Leaves,"Nov 17, 2023",MUBI,Drama,"$664,762","61,666"
235,She Came to Me,"Oct 6, 2023",Vertical Entertai…,Romantic Comedy,"$658,009","61,039"
236,Beetle Juice,"Mar 30, 1988",Warner Bros.,Comedy,"$654,293","60,695"
237,Joan Baez I Am a Noise,"Oct 6, 2023",Magnolia Pictures,Documentary,"$648,299","60,139"
238,Love Actually,"Nov 7, 2003",Universal,Romantic Comedy,"$632,273","58,652"
239,EO,"Nov 18, 2022",Janus Films,Drama,"$629,087","58,356"
240,Corsage,"Dec 23, 2022",IFC Films,Drama,"$629,049","58,353"
241,The Exorcist,"Dec 26, 1973",Warner Bros.,Horror,"$609,605","56,549"
242,Aftersun,"Oct 21, 2022",A24,Drama,"$609,419","56,532"
243,CatVideoFest 2023,"Aug 4, 2023",Oscilloscope Pict…,Documentary,"$608,599","56,456"
244,Shin Ultraman,"Jan 11, 2023",Fathom Events,Action,"$601,490","55,796"
245,Mirando al Cielo,"Apr 17, 2023",Fathom Events,Drama,"$578,323","53,647"
246,Minions: The Rise of Gru,"Jul 1, 2022",Universal,Adventure,"$575,555","53,391"
247,The Way,"Oct 7, 2011",Producers Distrib…,Drama,"$567,563","52,649"
248,The Persian Version,"Oct 20, 2023",Sony Pictures Cla…,Romantic Comedy,"$559,820","51,931"
249,Scarface,"Dec 9, 1983",Universal,Drama,"$558,600","51,818"
250,Of an Age,"Feb 17, 2023",Focus Features,Drama,"$556,585","51,631"
251,Passages,"Aug 4, 2023",MUBI,Drama,"$551,611","51,169"
252,When Evil Lurks,"Oct 6, 2023",IFC Films,Horror,"$546,626","50,707"
253,"RRR: Rise, Roar, Revolt","Mar 24, 2022",Sarigama Cinemas,Action,"$542,214","50,298"
254,Sweetwater,"Apr 14, 2023",Briarcliff Entert…,Drama,"$541,633","50,244"
255,Consecration,"Feb 10, 2023",IFC Films,Horror,"$538,551","49,958"
256,Sanctuary,"May 19, 2023",Neon,Thriller/Suspense,"$535,201","49,647"
257,The Abyss,"Aug 9, 1989",20th Century Fox,Adventure,"$520,104","48,247"
258,The Dark Knight,"Jul 18, 2008",Warner Bros.,Action,"$514,544","47,731"
259,Strange Way of Life,"Oct 6, 2023",Sony Pictures Cla…,Western,"$503,992","46,752"
260,The Good Mother,"Sep 1, 2023",Vertical Entertai…,Thriller/Suspense,"$503,378","46,695"
261,The Shining,"May 23, 1980",Warner Bros.,Horror,"$484,267","44,923"
262,Triangle of Sadness,"Oct 7, 2022",Neon,Black Comedy,"$483,542","44,855"
263,The Oath,"Dec 8, 2023",Freestyle Releasing,Action,"$468,027","43,416"
264,The Zone of Interest,"Dec 15, 2023",A24,Drama,"$463,787","43,022"
265,Under the Sea 3D,"Feb 13, 2009",Warner Bros.,Documentary,"$463,240","42,972"
266,"Crouching Tiger, Hidden Dragon","Dec 8, 2000",Sony Pictures Cla…,Action,"$451,549","41,887"
267,The Son,"Nov 25, 2022",Sony Pictures Cla…,Drama,"$449,650","41,711"
268,A Father’s Heart,"May 1, 2023",Fathom Events,Documentary,"$447,912","41,550"
269,They Live,"Nov 4, 1988",Universal,Thriller/Suspense,"$439,050","40,728"
270,Carlos,"Sep 23, 2023",Sony Pictures Cla…,Documentary,"$432,479","40,118"
271,Amerikatsi,"Sep 8, 2023",Variance Films,Comedy,"$409,476","37,984"
272,Aristotle and Dante Discove…,"Sep 8, 2023",Blue Fox Entertai…,Drama,"$407,838","37,832"
273,Mending the Line,"Jun 9, 2023",Blue Fox Entertai…,Drama,"$379,890","35,240"
274,Elvis,"Jun 24, 2022",Warner Bros.,Drama,"$376,105","34,889"
275,The Wizard of Oz,"Sep 23, 2009",Warner Bros.,Musical,"$351,435","32,601"
276,All of Us Strangers,"Dec 22, 2023",Searchlight Pictures,Drama,"$346,515","32,144"
277,Mother Teresa & Me,"Oct 5, 2023",Fathom Events,Drama,"$345,937","32,090"
278,Go West,"Jul 19, 2023",Purdie Distribution,Western,"$340,017","31,541"
279,Terrifier,"Jul 19, 2023",Iconic Releasing,Horror,"$339,946","31,534"
280,UFC 293: Adesyana vs. Stric…,"Sep 9, 2023",Iconic Releasing,Concert/Perfor…,"$336,498","31,215"
281,Selfiee,"Feb 24, 2023",Star Studios,Action,"$335,775","31,148"
282,Turn Every Page: The Advent…,"Dec 30, 2022",Sony Pictures Cla…,Documentary,"$327,630","30,392"
283,Wild Life,"Apr 14, 2023",National Geograph…,Documentary,"$325,936","30,235"
284,Children of the Corn,"Mar 3, 2023",RLJ Entertainment,Horror,"$325,583","30,202"
285,Terrifier 2,"Oct 6, 2022",Iconic Releasing,Horror,"$322,397","29,906"
286,Farewell My Concubine,"Oct 13, 1993",Miramax,Drama,"$321,788","29,850"
287,Monster,"Nov 22, 2023",Well Go USA,Thriller/Suspense,"$320,768","29,755"
288,Outlaw Johnny Black,"Sep 15, 2023",Samuel Goldwyn Films,Western,"$319,848","29,670"
289,The Lesson,"Jul 7, 2023",Bleecker Street,Thriller/Suspense,"$310,745","28,826"
290,Psycho-Pass Providence,"Jul 14, 2023",Crunchyroll,Thriller/Suspense,"$309,757","28,734"
291,UFC 291: Poirier vs. Gaethje 2,"Jul 29, 2023",Iconic Releasing,Concert/Perfor…,"$308,825","28,647"
292,The Inventor,"Sep 15, 2023",Blue Fox Entertai…,Adventure,"$306,385","28,421"
293,Joyland,"Apr 7, 2023",Oscilloscope Pict…,Drama,"$304,675","28,262"
294,Dreamin’ Wild,"Aug 4, 2023",Roadside Attractions,Drama,"$303,164","28,122"
295,The Eight Mountains,"Apr 28, 2023",Janus Films,Drama,"$302,456","28,057"
296,Southern Gospel,"Mar 10, 2023",Iconic Releasing,Drama,"$293,436","27,220"
297,School of Magical Animals,"Mar 24, 2023",Blue Fox Entertai…,Adventure,"$288,414","26,754"
298,Born to Fly,"Apr 28, 2023",Well Go USA,Drama,"$276,743","25,671"
299,Every Body,"Jun 30, 2023",Focus Features,Documentary,"$276,415","25,641"
300,Fremont,"Aug 25, 2023",Music Box Films,Documentary,"$269,485","24,998"
301,Blue Giant,"Oct 8, 2023",GKIDS,Drama,"$266,645","24,735"
302,American Graffiti,"Aug 11, 1973",Universal,Drama,"$265,985","24,674"
303,Empire of Light,"Dec 9, 2022",Searchlight Pictures,Drama,"$260,974","24,209"
304,The Essential Church,"Jul 28, 2023",Atlas Distribution,Documentary,"$250,000","23,191"
305,Common Ground,"Sep 29, 2023",Area 23a,Documentary,"$246,931","22,906"
306,Afire,"Jul 14, 2023",Janus Films,Drama,"$244,803","22,708"
307,The Secret Life of Pets,"Jul 8, 2016",Universal,Adventure,"$239,530","22,220"
308,Contempt,"Mar 14, 2008",Rialto Pictures,Drama,"$235,121","21,810"
309,Shelter in Solitude,"Oct 6, 2023",,Comedy,"$235,103","21,809"
310,The Thing,"Jun 25, 1982",Universal,Horror,"$227,705","21,123"
311,The Bad Guys,"Apr 22, 2022",Universal,Comedy,"$225,610","20,929"
312,Malum,"Mar 31, 2023",Welcome Villain F…,Horror,"$221,738","20,569"
313,One Fine Morning,"Jan 27, 2023",Sony Pictures Cla…,Drama,"$214,470","19,895"
314,Scrapper,"Aug 25, 2023",Kino Lorber,Drama,"$213,960","19,847"
315,Saint Omer,"Dec 9, 2022",Super LTD,Drama,"$213,953","19,847"
316,All The Beauty And The Bloo…,"Nov 23, 2022",Neon,Documentary,"$212,717","19,732"
317,ET: The Extra-Terrestrial,"Jun 11, 1982",Universal,Adventure,"$203,865","18,911"
318,I Can,"Sep 22, 2023",Atlas Distribution,Drama,"$203,795","18,904"
319,Landscape with Invisible Hand,"Aug 18, 2023",MGM,Drama,"$203,403","18,868"
320,Shrek 2,"May 19, 2004",Dreamworks SKG,Adventure,"$200,560","18,605"
321,Born to be Wild 3D,"Apr 8, 2011",Warner Bros.,Documentary,"$199,734","18,528"
322,Lourdes,"Jun 25, 2021",Distrib Films,Documentary,"$197,702","18,339"
323,When You Finish Saving the …,"Jan 20, 2023",A24,Comedy,"$196,920","18,267"
324,The Canterville Ghost,"Oct 20, 2023",Blue Fox Entertai…,Adventure,"$192,310","17,839"
325,Enys Men,"Mar 31, 2023",Neon,Horror,"$189,579","17,586"
326,Shrek,"May 18, 2001",Dreamworks SKG,Adventure,"$186,820","17,330"
327,"Lyle, Lyle, Crocodile","Oct 7, 2022",Sony Pictures,Musical,"$185,300","17,189"
328,Onyx the Fortuitous and the…,"Oct 19, 2023",Fathom Events,Comedy,"$182,021","16,885"
329,Close to Vermeer,"May 26, 2023",Kino Lorber,Documentary,"$178,762","16,582"
330,Il conformista,"Aug 29, 2014",Kino Lorber,Drama,"$174,258","16,164"
331,The Wrath of Becky,"May 26, 2023",Quiver,Horror,"$168,109","15,594"
332,The Other Zoey,"Oct 20, 2023",Brainstorm Media,Romantic Comedy,"$168,099","15,593"
333,Chile ‘76,"May 5, 2023",Kino Lorber,Thriller/Suspense,"$165,958","15,394"
334,Anselm,"Dec 8, 2023",Janus Films,Documentary,"$164,294","15,240"
335,The Highest of Stakes,"Aug 4, 2023",Indican Pictures,Documentary,"$161,313","14,964"
336,The Starling Girl,"May 12, 2023",Bleecker Street,Drama,"$161,290","14,961"
337,¡Que viva México!,"Mar 24, 2023",Sony Pictures,Comedy,"$161,222","14,956"
338,Mamma Mia!,"Jul 18, 2008",Universal,Musical,"$160,905","14,926"
339,La Usurpadora,"Apr 7, 2023",Pantelion Films,Musical,"$160,527","14,891"
340,Hubble 3D,"Mar 19, 2010",Warner Bros.,Documentary,"$152,985","14,192"
341,Monica,"May 12, 2023",IFC Films,Drama,"$152,619","14,157"
